Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,InterestScore,NumWeightVotes,log_NumWeightVotes,PlaytimeComAvg,NumUserRatings,log_NumUserRatings,NumAlternates,NumAlternates_log,NumExpansions,NumExpansions_log,NumImplementations,NumImplementations_log,IsReimplementation,Kickstarted,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens,Rating,InterestScore_log
Assassin's Creed: Arena,2014,1.8333,2,4,8.0,199.33333333333334,6,1.9459101490553132,30.0,164,5.10594547390058,0,0.0,1,0.6931471805599453,0,0.0,0,0,0,0,0,0,0,0,0,0,1,5.2999826458670976
Bag of Chips,2021,1.0,2,5,8.0,43.666666666666664,6,1.9459101490553132,17.5,38,3.6635616461296463,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,3.7992275112828016
Gùgōng: Deluxe Big Box,2020,3.6667,1,5,10.0,311.3333333333333,9,2.302585092994046,90.0,231,5.44673737166631,0,0.0,1,0.6931471805599453,0,0.0,0,0,0,0,0,0,0,0,0,0,3,5.744070993570312
LetterFlip,2004,1.3077,2,2,7.0,54.333333333333336,13,2.6390573296152584,20.0,81,4.406719247264253,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,4.013375499688434
Treasures of Cibola,2019,1.5,2,4,10.0,82.33333333333333,2,1.0986122886681098,17.5,79,4.382026634673881,3,1.3862943611198906,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,4.422848629194137
H.I.D.E.: Hidden Identity Dice Espionage,2015,1.6,3,5,8.0,180.66666666666666,5,1.791759469228055,30.0,187,5.236441962829949,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,5.202173505995134
Le Grand Empire,2007,3.7,2,7,14.0,71.0,10,2.3978952727983707,37.5,55,4.02535169073515,0,0.0,0,0.0,1,0.6931471805599453,0,0,0,0,1,0,0,0,0,0,3,4.276666119016055
Monopoly: Canada (Electronic Banking),2009,1.0,2,6,10.0,46.333333333333336,1,0.6931471805599453,90.0,35,3.58351893845611,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,3.8572147689331513
I.Q. 2000,1984,1.6667,2,6,8.0,198.0,27,3.332204510175204,90.0,316,5.75890177387728,9,2.302585092994046,3,1.3862943611198906,1,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1,5.293304824724492
Speedy Recall,2012,1.0,2,6,10.0,32.333333333333336,3,1.3862943611198906,5.0,32,3.4965075614664802,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,3.506557897319982
BOLSA: the board game,2011,1.6667,2,6,10.0,20.0,3,1.3862943611198906,75.0,30,3.4339872044851463,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,3.044522437723423
